"","problem","f","p","n","g","tpfi_rf"
"1","e2","linear_f",10,300,"independent",1.07796411756246
"2","e2","linear_f",10,3000,"independent",1.86212261607639
"3","e2","linear_f",90,300,"independent",0.570244410910348
"4","e2","linear_f",90,3000,"independent",1.46058781992151
"5","e2","linear_f",10,300,"linear",2.21087281844522
"6","e2","linear_f",10,3000,"linear",2.91600310188166
"7","e2","linear_f",90,300,"linear",1.96111062571451
"8","e2","linear_f",90,3000,"linear",2.83063705286105
"9","e2","linear_f",10,300,"multi. lin.",49.6978845924858
"10","e2","linear_f",10,3000,"multi. lin.",73.5416232922959
"11","e2","linear_f",90,300,"multi. lin.",47.1939626568526
"12","e2","linear_f",90,3000,"multi. lin.",76.4839757749993
"13","e2","linear_f",10,300,"non-linear",2.47983759315456
"14","e2","linear_f",10,3000,"non-linear",3.8350779179242
"15","e2","linear_f",90,300,"non-linear",1.69695915713766
"16","e2","linear_f",90,3000,"non-linear",3.11205700639152
